Model,Class 0,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9
VGG11,1.3036681444212976e-14,1.5137683090707436e-17,2.6412516786330706e-12,7.447396242451013e-12,3.854933763831415e-13,4.377663967576624e-16,100.0,2.522303747282048e-17,3.101837341182238e-16,3.297770578901909e-17
VGG13,0.0247153540840372,0.000199539431378,1.2999258935451508,1.3779334723949432,0.0160247320309281,0.0348585890606045,97.24377989768982,0.0008232716936618,0.0013539893188863,0.0003946139713661
VGG16,0.0491610961034894,0.0634998548775911,0.5544536281377077,0.8722072467207909,0.1943030045367777,0.1331725856289267,97.9720413684845,0.0616495963186025,0.0429219246143475,0.056583690457046
VGG19,5.148920220465217e-19,2.284601766037571e-19,3.3313421176526795e-16,1.115406125108524e-13,4.135199628372223e-15,4.468812488198945e-15,100.0,3.531485410249489e-21,1.2529381074832787e-19,1.0692977510963627e-19
